Rector,"Fossas Colet, Enric"
Vicerector de l'Àrea d'Arquitectura,"Parcerisa Bundó, Josep"
Vicerector d'Estudiants,"Vallverdú Bayés, Sisco"
Vicerectora d'Ordenació Acadèmica,"Rosselló Nicolau, Maribel"
Vicerector de Personal Docent i Investigador,"Soriano Ibáñez, Miquel"
Vicerector de Política Universitària,"Ras Sabidó, Antoni"
Vicerector de Recerca,"Orejas Valdés, Fernando"
Vicerectora de Relacions Internacionals,"Reig Puig, Lourdes"
Vicerectora de Transferència de Coneixement,"Real Saladrigas, Esther"
Secretari General,"Sallán Leyes, José M."
Gerent,"Lanau Rami, Olga"
Delegat del rector per a la Política TIC,"Vila Marta, Sebastià"
Cap del Gabinet del rector,"Cánovas Pérez, Ana Rosa"